topic_id,topic_name,baronllm-v2_acc_embedding_final,baronllm-v2_n_embedding_final,cybertuned_acc_embedding_final,cybertuned_n_embedding_final,foundation-sec-8b_acc_embedding_final,foundation-sec-8b_n_embedding_final,lily-cyber-7b_acc_embedding_final,lily-cyber-7b_n_embedding_final,llama-3.1-8b_acc_embedding_final,llama-3.1-8b_n_embedding_final,mistral-7b-instruct-v0.2_acc_embedding_final,mistral-7b-instruct-v0.2_n_embedding_final,qwen3-14b_acc_embedding_final,qwen3-14b_n_embedding_final,roberta-base_acc_embedding_final,roberta-base_n_embedding_final,trendyol-cyber-70b_acc_embedding_final,trendyol-cyber-70b_n_embedding_final,zephyr-7b-beta_acc_embedding_final,zephyr-7b-beta_n_embedding_final,zysec-7b_acc_embedding_final,zysec-7b_n_embedding_final,llama-3.3-70b-instruct_acc_embedding_final_1,llama-3.3-70b-instruct_n_embedding_final_1,qwen3-14b_acc_embedding_final_1,qwen3-14b_n_embedding_final_1
SCLC00101,Credential management,0.381,21,0.381,21,0.762,21,0.714,21,0.667,21,0.762,21,0.095,21,0.286,21,0.714,21,0.524,21,0.429,21,0.911,45,0.914,35
SCLC00201,Social engineering,0.316,19,0.368,19,0.474,19,0.737,19,0.526,19,0.474,19,0.105,19,0.211,19,0.579,19,0.474,19,0.421,19,0.843,51,0.805,41
SCLC00202,Email,0.286,21,0.571,21,0.667,21,0.524,21,0.667,21,0.619,21,0.143,21,0.524,21,0.714,21,0.571,21,0.381,21,0.853,34,0.862,29
SCLC00301,Defensive measures,0.258,31,0.129,31,0.355,31,0.355,31,0.484,31,0.290,31,0.129,31,0.097,31,0.581,31,0.323,31,0.258,31,0.688,48,0.682,44
SCLC00401,General hygiene,0.182,11,0.364,11,0.273,11,0.636,11,0.727,11,0.455,11,0.091,11,0.364,11,0.818,11,0.364,11,0.455,11,0.818,11,0.727,11
SCLC00501,Psychological manipulation,0.429,21,0.286,21,0.619,21,0.667,21,0.762,21,0.619,21,0.190,21,0.524,21,0.905,21,0.381,21,0.429,21,0.936,47,0.913,46
SCLC00601,Internal risks,0.333,24,0.074,27,0.556,27,0.519,27,0.630,27,0.481,27,0.148,27,0.222,27,0.630,27,0.407,27,0.296,27,0.758,33,0.844,32
SCLC00701,Foundational concepts,0.306,36,0.361,36,0.361,36,0.528,36,0.556,36,0.472,36,0.139,36,0.333,36,0.694,36,0.306,36,0.278,36,0.776,67,0.851,67
SCLC00801,Infrastructure protection,0.419,31,0.355,31,0.548,31,0.516,31,0.516,31,0.516,31,0.161,31,0.419,31,0.645,31,0.484,31,0.387,31,0.909,44,0.932,44
SCLC00901,Authentication/Authorization,0.314,35,0.429,35,0.743,35,0.629,35,0.800,35,0.457,35,0.086,35,0.314,35,0.829,35,0.343,35,0.429,35,0.903,62,0.887,62
