topic_id,topic_name,llama31_foundation_base_embedding_acc,llama31_foundation_base_embedding_n,llama31_foundation_base_nli_acc,llama31_foundation_base_nli_n,llama31_foundation_tuned_embedding_acc,llama31_foundation_tuned_embedding_n,llama31_foundation_tuned_nli_acc,llama31_foundation_tuned_nli_n,mistral_lily_base_embedding_acc,mistral_lily_base_embedding_n,mistral_lily_base_nli_acc,mistral_lily_base_nli_n,mistral_lily_tuned_embedding_acc,mistral_lily_tuned_embedding_n,mistral_lily_tuned_nli_acc,mistral_lily_tuned_nli_n,zephyr_zysec_base_embedding_acc,zephyr_zysec_base_embedding_n,zephyr_zysec_base_nli_acc,zephyr_zysec_base_nli_n,zephyr_zysec_tuned_embedding_acc,zephyr_zysec_tuned_embedding_n,zephyr_zysec_tuned_nli_acc,zephyr_zysec_tuned_nli_n,qwen_baronllm_base_embedding_acc,qwen_baronllm_base_embedding_n,qwen_baronllm_base_nli_acc,qwen_baronllm_base_nli_n,qwen_baronllm_tuned_embedding_acc,qwen_baronllm_tuned_embedding_n,qwen_baronllm_tuned_nli_acc,qwen_baronllm_tuned_nli_n,llama33_trendyol_base_embedding_acc,llama33_trendyol_base_embedding_n,llama33_trendyol_base_nli_acc,llama33_trendyol_base_nli_n,llama33_trendyol_tuned_embedding_acc,llama33_trendyol_tuned_embedding_n,llama33_trendyol_tuned_nli_acc,llama33_trendyol_tuned_nli_n,roberta_cybertuned_base_embedding_acc,roberta_cybertuned_base_embedding_n,roberta_cybertuned_base_nli_acc,roberta_cybertuned_base_nli_n,roberta_cybertuned_tuned_embedding_acc,roberta_cybertuned_tuned_embedding_n,roberta_cybertuned_tuned_nli_acc,roberta_cybertuned_tuned_nli_n
SCLC00101,Credential management,,,,,,,,,,,,,,,,,,,,,,,,,0.914,35,0.538,13,,,,,0.911,45,0.385,13,,,,,,,,,,,,
SCLC00201,Social engineering,,,,,,,,,,,,,,,,,,,,,,,,,0.805,41,0.500,16,,,,,0.843,51,0.688,16,,,,,,,,,,,,
SCLC00202,Email,,,,,,,,,,,,,,,,,,,,,,,,,0.862,29,1.000,6,,,,,0.853,34,1.000,6,,,,,,,,,,,,
SCLC00301,Defensive measures,,,,,,,,,,,,,,,,,,,,,,,,,0.682,44,0.333,15,,,,,0.688,48,0.400,15,,,,,,,,,,,,
SCLC00401,General hygiene,,,,,,,,,,,,,,,,,,,,,,,,,0.727,11,1.000,4,,,,,0.818,11,1.000,4,,,,,,,,,,,,
SCLC00501,Psychological manipulation,,,,,,,,,,,,,,,,,,,,,,,,,0.913,46,0.900,10,,,,,0.936,47,0.900,10,,,,,,,,,,,,
SCLC00601,Internal risks,,,,,,,,,,,,,,,,,,,,,,,,,0.844,32,1.000,3,,,,,0.758,33,0.667,3,,,,,,,,,,,,
SCLC00701,Foundational concepts,,,,,,,,,,,,,,,,,,,,,,,,,0.851,67,0.550,20,,,,,0.776,67,0.350,20,,,,,,,,,,,,
SCLC00801,Infrastructure protection,,,,,,,,,,,,,,,,,,,,,,,,,0.932,44,0.650,20,,,,,0.909,44,0.600,20,,,,,,,,,,,,
SCLC00901,Authentication/Authorization,,,,,,,,,,,,,,,,,,,,,,,,,0.887,62,0.684,19,,,,,0.903,62,0.600,20,,,,,,,,,,,,
SCLC01001,Regulatory/Legal,,,,,,,,,,,,,,,,,,,,,,,,,0.667,48,0.529,17,,,,,0.618,55,0.600,20,,,,,,,,,,,,
SCLC01101,Firewalls,,,,,,,,,,,,,,,,,,,,,,,,,0.969,32,1.000,2,,,,,0.938,32,1.000,2,,,,,,,,,,,,
SCLC01102,Virus Scans,,,,,,,,,,,,,,,,,,,,,,,,,0.643,14,0.500,4,,,,,0.643,14,0.500,4,,,,,,,,,,,,
SCLC01103,USB safety,,,,,,,,,,,,,,,,,,,,,,,,,1.000,5,,0,,,,,1.000,5,,0,,,,,,,,,,,,
SCLC01201,Encrypted vaults,,,,,,,,,,,,,,,,,,,,,,,,,0.727,11,1.000,1,,,,,0.818,11,1.000,1,,,,,,,,,,,,
SCLC01202,SSL certificates,,,,,,,,,,,,,,,,,,,,,,,,,1.000,36,0.833,6,,,,,0.889,36,0.833,6,,,,,,,,,,,,
SCLC01301,Location leaks,,,,,,,,,,,,,,,,,,,,,,,,,0.958,24,0.727,11,,,,,1.000,24,0.818,11,,,,,,,,,,,,
SCLC01302,Friend requests,,,,,,,,,,,,,,,,,,,,,,,,,0.909,11,0.333,3,,,,,0.667,12,0.333,3,,,,,,,,,,,,
SCLC01401,Unique logins,,,,,,,,,,,,,,,,,,,,,,,,,0.917,12,,0,,,,,1.000,12,,0,,,,,,,,,,,,
SCLC01402,Default usernames,,,,,,,,,,,,,,,,,,,,,,,,,0.800,20,,0,,,,,0.810,21,,0,,,,,,,,,,,,
SCLC01501,Header checks,,,,,,,,,,,,,,,,,,,,,,,,,0.955,22,,0,,,,,0.955,22,,0,,,,,,,,,,,,
SCLC01502,Typos,,,,,,,,,,,,,,,,,,,,,,,,,0.889,18,,0,,,,,0.789,19,,0,,,,,,,,,,,,
SCLC01503,Domains,,,,,,,,,,,,,,,,,,,,,,,,,0.774,31,0.400,5,,,,,0.656,32,0.200,5,,,,,,,,,,,,
SCLC01601,General theory,,,,,,,,,,,,,,,,,,,,,,,,,0.885,61,0.500,20,,,,,0.585,65,0.200,20,,,,,,,,,,,,
SCLC01701,Viruses/Trojans,,,,,,,,,,,,,,,,,,,,,,,,,0.615,39,0.526,19,,,,,0.659,41,0.450,20,,,,,,,,,,,,
SCLC01702,Adware,,,,,,,,,,,,,,,,,,,,,,,,,0.800,10,,0,,,,,0.800,10,,0,,,,,,,,,,,,
SCLC01801,Safe browsing,,,,,,,,,,,,,,,,,,,,,,,,,0.938,16,1.000,2,,,,,0.812,16,1.000,2,,,,,,,,,,,,
SCLC01901,Backups & recovery,,,,,,,,,,,,,,,,,,,,,,,,,0.968,31,1.000,2,,,,,0.765,34,0.667,3,,,,,,,,,,,,
SCLC02001,Advanced cyber threats,,,,,,,,,,,,,,,,,,,,,,,,,0.607,56,0.364,11,,,,,0.500,60,0.545,11,,,,,,,,,,,,
SCLC02101,Advanced malware types,,,,,,,,,,,,,,,,,,,,,,,,,0.594,64,0.588,17,,,,,0.582,67,0.588,17,,,,,,,,,,,,
SCLC02201,Secure communication,,,,,,,,,,,,,,,,,,,,,,,,,0.930,43,0.667,6,,,,,0.886,44,0.625,8,,,,,,,,,,,,
SCLC02301,Professional perspective,,,,,,,,,,,,,,,,,,,,,,,,,0.833,54,0.786,14,,,,,0.691,55,0.643,14,,,,,,,,,,,,
SCLC02401,App security,,,,,,,,,,,,,,,,,,,,,,,,,0.839,56,0.611,18,,,,,0.789,57,0.400,20,,,,,,,,,,,,
SCLC02501,Behavioral security,,,,,,,,,,,,,,,,,,,,,,,,,0.673,52,0.467,15,,,,,0.745,55,0.647,17,,,,,,,,,,,,
SCLC02601,Remote/Traveling security,,,,,,,,,,,,,,,,,,,,,,,,,0.806,36,0.800,5,,,,,0.590,39,0.800,5,,,,,,,,,,,,
SCLC02701,Working from home,,,,,,,,,,,,,,,,,,,,,,,,,0.833,18,1.000,1,,,,,0.700,20,1.000,1,,,,,,,,,,,,
SCLC02801,Other,,,,,,,,,,,,,,,,,,,,,,,,,0.804,51,0.800,10,,,,,0.642,53,0.400,10,,,,,,,,,,,,
